Model,SMOTE,Threshold,CV_ROC_AUC,Test_ROC_AUC,F1_Leave,Recall_Leave,Precision_Leave,Recall_Stay,Precision_Stay
RandomForest,True,0.3,0.77501356066678,0.7708674304418985,0.4083769633507853,0.8297872340425532,0.2708333333333333,0.5748987854251012,0.9466666666666667
Logistic,True,0.3,0.8171916871088658,0.7891291239555517,0.42045454545454547,0.7872340425531915,0.2868217054263566,0.6275303643724697,0.9393939393939394
Logistic,True,0.4,0.8171916871088658,0.7891291239555517,0.48322147651006714,0.7659574468085106,0.35294117647058826,0.7327935222672065,0.9427083333333334
Logistic,True,0.35,0.8171916871088658,0.7891291239555517,0.4585987261146497,0.7659574468085106,0.32727272727272727,0.7004048582995951,0.9402173913043478
Logistic,True,0.45,0.8171916871088658,0.7891291239555517,0.5,0.723404255319149,0.38202247191011235,0.7773279352226721,0.9365853658536586
RandomForest,True,0.35,0.77501356066678,0.7708674304418985,0.4563758389261745,0.723404255319149,0.3333333333333333,0.7246963562753036,0.9322916666666666
CatBoost,True,0.3,0.7812845257274859,0.7575157205616333,0.42857142857142855,0.7021276595744681,0.308411214953271,0.7004048582995951,0.9251336898395722
Logistic,True,0.5,0.8171916871088658,0.7891291239555517,0.49612403100775193,0.6808510638297872,0.3902439024390244,0.7975708502024291,0.9292452830188679
CatBoost,True,0.35,0.7812845257274859,0.7575157205616333,0.4413793103448276,0.6808510638297872,0.32653061224489793,0.7327935222672065,0.923469387755102
RandomForest,True,0.4,0.77501356066678,0.7708674304418985,0.496,0.6595744680851063,0.3974358974358974,0.8097165991902834,0.9259259259259259
CatBoost,True,0.4,0.7812845257274859,0.7575157205616333,0.45925925925925926,0.6595744680851063,0.3522727272727273,0.7692307692307693,0.9223300970873787
CatBoost,True,0.45,0.7812845257274859,0.7575157205616333,0.46774193548387094,0.6170212765957447,0.37662337662337664,0.805668016194332,0.9170506912442397
CatBoost,True,0.5,0.7812845257274859,0.7575157205616333,0.49557522123893805,0.5957446808510638,0.42424242424242425,0.8461538461538461,0.9166666666666666
CatBoost,False,0.3,0.7914333017592434,0.7799121371349814,0.5,0.574468085106383,0.4426229508196721,0.8623481781376519,0.9141630901287554
Logistic,False,0.3,0.8348433574321901,0.8103195796364889,0.5473684210526316,0.5531914893617021,0.5416666666666666,0.9109311740890689,0.9146341463414634
RandomForest,True,0.45,0.77501356066678,0.7708674304418985,0.45454545454545453,0.5319148936170213,0.3968253968253968,0.8461538461538461,0.9047619047619048
CatBoost,False,0.35,0.7914333017592434,0.7799121371349814,0.48,0.5106382978723404,0.4528301886792453,0.8825910931174089,0.9045643153526971
Logistic,False,0.35,0.8348433574321901,0.8103195796364889,0.5111111111111111,0.48936170212765956,0.5348837209302325,0.9190283400809717,0.9043824701195219
CatBoost,False,0.4,0.7914333017592434,0.7799121371349814,0.4731182795698925,0.46808510638297873,0.4782608695652174,0.902834008097166,0.8991935483870968
Logistic,False,0.4,0.8348433574321901,0.8103195796364889,0.49411764705882355,0.44680851063829785,0.5526315789473685,0.9311740890688259,0.8984375
CatBoost,False,0.45,0.7914333017592434,0.7799121371349814,0.4827586206896552,0.44680851063829785,0.525,0.9230769230769231,0.8976377952755905
Logistic,False,0.45,0.8348433574321901,0.8103195796364889,0.48717948717948717,0.40425531914893614,0.6129032258064516,0.951417004048583,0.8935361216730038
CatBoost,False,0.5,0.7914333017592434,0.7799121371349814,0.4444444444444444,0.3829787234042553,0.5294117647058824,0.9352226720647774,0.8884615384615384
RandomForest,True,0.5,0.77501356066678,0.7708674304418985,0.375,0.3829787234042553,0.3673469387755102,0.8744939271255061,0.8816326530612245
Logistic,False,0.5,0.8348433574321901,0.8103195796364889,0.4657534246575342,0.3617021276595745,0.6538461538461539,0.9635627530364372,0.8880597014925373
RandomForest,False,0.3,0.788749234260856,0.7787061762425703,0.2926829268292683,0.2553191489361702,0.34285714285714286,0.9068825910931174,0.8648648648648649
RandomForest,False,0.4,0.788749234260856,0.7787061762425703,0.24615384615384617,0.1702127659574468,0.4444444444444444,0.9595141700404858,0.8586956521739131
RandomForest,False,0.35,0.788749234260856,0.7787061762425703,0.22857142857142856,0.1702127659574468,0.34782608695652173,0.9392712550607287,0.8560885608856088
RandomForest,False,0.45,0.788749234260856,0.7787061762425703,0.16393442622950818,0.10638297872340426,0.35714285714285715,0.9635627530364372,0.85
RandomForest,False,0.5,0.788749234260856,0.7787061762425703,0.10526315789473684,0.06382978723404255,0.3,0.97165991902834,0.8450704225352113
